x,y,Expected_x,Expected_y,Left_PWM,Right_PWM,dt
0.03568377,0.03568377,0.0,0.0,0.0,0.0,0.0
0.5825296792504655,0.5416730246894741,0.5824915311136205,0.5416730246894741,0.00043641468550670304,-0.12179326761680953,0.29755546739097266
0.5824915311136205,0.5416730246894741,0.5824915311136205,0.5416730246894741,-0.0014435254982145818,-0.12585528122806477,0.7190771202734458
0.5824915311136205,0.5416730246894741,0.5824915311136205,0.5416730246894741,0.0019470809045685211,-0.12216254158146911,0.7247993408001954
0.5825296792504655,0.5416730246894741,0.5824915311136205,0.5416730246894741,-0.0013092440565203312,-0.12451246681112094,0.7305215613269449
0.5825296792504655,0.5416730246894741,0.5824915311136205,0.5417111728263191,-0.005908383434553022,-0.12934659871211884,0.7305215613269449
0.5825296792504655,0.5416730246894741,0.5824915311136205,0.5417111728263191,-0.00527054658650461,-0.12978301339762566,0.7285988952299569
0.5824915311136205,0.5417111728263191,0.5825296792504655,0.5417111728263191,-0.005505539109469826,-0.13122653889584024,0.7267220068971831
0.5825296792504655,0.5416730246894741,0.5825296792504655,0.5417493209631641,-0.014300973540452233,-0.1395184179204687,0.7400433362834559
0.5824915311136205,0.5416730246894741,0.5825296792504655,0.5417874691000091,-0.016080202642902997,-0.14455397198400832,0.7305215613269449
0.5825296792504655,0.5416730246894741,0.5825678273873105,0.5417874691000091,-0.025312051759392107,-0.1516373180333872,0.7305215613269449
0.5824915311136205,0.5416730246894741,0.5825678273873105,0.5418637653736991,-0.02970976897488331,-0.159157078768273,0.7381664479506821
0.5824915311136205,0.5416730246894741,0.5826059755241555,0.5419019135105443,-0.03336893826105536,-0.1631183812982574,0.7305215613269449
0.5824915311136205,0.5417111728263191,0.5826059755241555,0.5419782097842343,-0.0369945371868039,-0.16788537247840818,0.7324442274239327
0.5824915311136205,0.5416730246894741,0.5826441236610005,0.5420163579210793,-0.04756920072023685,-0.18084353160191657,0.7267220068971831
0.5824915311136205,0.5416730246894741,0.5826822717978455,0.5420926541947693,-0.05760673848689235,-0.19151890621662038,0.7324442274239327
0.5825296792504655,0.5416730246894741,0.5826822717978455,0.5421308023316143,-0.06311227759636218,-0.19709158604693755,0.7305215613269449
0.5824533829767755,0.5416730246894741,0.5826822717978455,0.5422070986053042,-0.066469313638722,-0.2049470503860592,0.7324442274239327
0.5824915311136205,0.5416730246894741,0.5827585680715355,0.5422833948789942,-0.07828608050782804,-0.2170659504989776,0.7381664479506821
0.5824915311136205,0.5417111728263191,0.5827967162083805,0.5423596911526842,-0.08251594592120126,-0.2227393414105655,0.7305215613269449
0.5824915311136205,0.5416730246894741,0.5828348643452255,0.5424741355632192,-0.09540696432386242,-0.23720816675313572,0.7305215613269449
