Px,Py,Mx,My,Mxv,Myv,dt
2.041735887527466,0.4230939447879791,0.48027506470680237,0.587638795375824,0.039550989866256714,0.03980860114097595,0.001868979015853256
2.041725217009387,0.4222707450223074,0.48029267250587543,0.5876497601680417,-6.756247921345186e-13,0.021667321669562797,0.006659734004642814
2.0417749881744385,0.42170557379722595,0.48034507036209106,0.5881640315055847,0.3526465892791748,0.039223071187734604,0.008383929962292314
2.041609733426028,0.4212130122262514,0.48368561440192853,0.5882570515209559,0.12320740574282202,0.18801930768835284,0.008358299033716321
2.0414986610412598,0.4203295409679413,0.48554402589797974,0.589657723903656,0.6398542523384094,0.17914952337741852,0.00840658601373434
2.0414986024660466,0.4203295545815727,0.4922125129815748,0.5911057596683117,0.3917438425747883,0.1365781495094469,0.007840409001801163
2.0414986610412598,0.4203295409679413,0.49437984824180603,0.5925889015197754,0.5762326717376709,0.19769684970378876,0.008384179964195937
2.0420614152691225,0.4192873746012412,0.5013362659338685,0.5945242623765834,0.6982788844592844,0.19416472097127796,0.008715114032384008
2.0420613288879395,0.41928738355636597,0.5049857497215271,0.5957186222076416,0.6711167097091675,0.22412262856960297,0.007839223952032626
2.042686713747179,0.41822527732560355,0.5135190514153952,0.5982551149056314,0.8286792563437176,0.2730861773039819,0.008803307020571083
2.0427863597869873,0.41795313358306885,0.5206555128097534,0.6006423234939575,0.8488643169403076,0.33031320571899414,0.008436509990133345
2.042752492385032,0.41770844425816744,0.5280700918124028,0.6031947709747864,0.9728934512535043,0.2861968777628612,0.008234339999035
2.0427088737487793,0.41772007942199707,0.5339993238449097,0.6050847768783569,0.899186909198761,0.21156921982765198,0.00837344501633197
2.0427579726777574,0.41767756182776994,0.5436459547042822,0.6064879155697191,1.0474441296992816,0.14772570830969062,0.008282792987301946
2.042757987976074,0.41767755150794983,0.5507593154907227,0.6078433990478516,0.8902433514595032,0.1795557141304016,0.007913407986052334
2.04315920367115,0.4178360138167463,0.5607015826841265,0.6101499501594436,1.07742214445961,0.1732713627470645,0.008751537010539323
2.0435609817504883,0.41825759410858154,0.5691879987716675,0.6119824051856995,0.9907222986221313,0.19785547256469727,0.008610713004600257
2.0439368154244244,0.41824722068001746,0.5772992424009497,0.6135395480732719,1.1861198968271656,0.2861030342671872,0.008052329998463392
2.043567657470703,0.41861212253570557,0.5855203866958618,0.615648090839386,0.9853945374488831,0.24876831471920013,0.00831457698950544
2.0440207487153166,0.41871497726639734,0.5944005271217543,0.6179691590309221,1.1466222146304195,0.27169757482415047,0.008376448997296393
2.0443766117095947,0.4192163944244385,0.6044771671295166,0.6202847361564636,0.9916080832481384,0.352461040019989,0.008440905017778277
2.044347748510542,0.41910827576169324,0.6113711743596125,0.6225176602654033,1.1153900967418995,0.3337607874317736,0.008186507038772106
2.044912815093994,0.41936764121055603,0.6225700974464417,0.6262344121932983,1.090175986289978,0.2853449583053589,0.008376064943149686
2.0451622077457907,0.41980588679209246,0.6307378052144548,0.6278210836363379,1.0954365899997964,0.2780278590968517,0.008286325028166175
2.0453696250915527,0.420211523771286,0.6392765045166016,0.6298266649246216,1.1757735013961792,0.21803788840770721,0.008323594985995442
2.0458925911495607,0.4208694588144382,0.6485400406359444,0.6319999493311209,1.127557490766205,0.26155182860314846,0.0083541150088422
2.0461761951446533,0.42181628942489624,0.6594180464744568,0.6344066262245178,1.0964555740356445,0.3079287111759186,0.008463745005428791
2.046520490238795,0.4226466370737103,0.6682884852196246,0.6369118640318294,1.1196638457782975,0.2638913363632407,0.008161196019500494
2.0473339557647705,0.42380356788635254,0.6782234907150269,0.6392711997032166,1.1524089574813843,0.34917113184928894,0.008429092995356768
2.0481402278536827,0.42458030798316077,0.6884525540637444,0.6424528623929293,1.1695077775254277,0.3201904825290416,0.00824691099114716
2.048854112625122,0.4255611002445221,0.6968508362770081,0.6446452140808105,1.1416131258010864,0.33066263794898987,0.008372774987947196
2.0488541956413786,0.42556111214327186,0.7059141061465537,0.6472464566482367,1.1538286832080424,0.3776419909713102,0.007886524021159858
2.0391836166381836,0.3965799808502197,0.7155678868293762,0.6506806015968323,1.1246660947799683,0.3405252993106842,0.008822539006359875
2.039437867177614,0.39565192356463297,0.7237468020076414,0.6533692663547173,1.0023301280995103,0.38073610723276846,0.008204396988730878
2.039973497390747,0.39505356550216675,0.7329431176185608,0.6566255688667297,0.8700200319290161,0.28982844948768616,0.008456001989543438
2.040374785029511,0.3941330418371428,0.7406743880032813,0.6582567122425409,0.9473547252690722,0.24030733028880974,0.00822636199882254
2.040937900543213,0.39364078640937805,0.7471075057983398,0.6599879860877991,0.973192572593689,0.11048046499490738,0.008298562024720013
2.04124730335496,0.3930384830254585,0.7557048302652323,0.6606332387258717,0.9410285444783396,0.09171022555429156,0.008373474003747106
