x,y,dt,obstructed,visable
0.0,0.0,0.00839451199863106,1.0,0.0
0.0,0.0,0.00824759500392247,1.0,0.0
0.0,0.0,0.008286141004646197,1.0,0.0
0.0,0.0,0.008465044011245482,1.0,0.0
0.0,0.0,0.00829229700320866,1.0,0.0
0.0,0.0,0.008396352990530431,1.0,0.0
0.0,0.0,0.008420398997259326,1.0,0.0
0.0,0.0,0.008333245001267642,1.0,0.0
0.0,0.0,0.008204468002077192,1.0,0.0
0.0,0.0,0.008540035007172264,1.0,0.0
0.0,0.0,0.00833272299496457,1.0,0.0
0.0,0.0,0.008096094999928027,1.0,0.0
0.0,0.0,0.00848091700754594,1.0,0.0
0.0,0.0,0.008316096005728468,1.0,0.0
0.0,0.0,0.008230179009842686,1.0,0.0
0.0,0.0,0.008443482001894154,1.0,0.0
0.0,0.0,0.00832838099449873,1.0,0.0
0.0,0.0,0.008291924998047762,1.0,0.0
0.0,0.0,0.008370544004719704,1.0,0.0
0.0,0.0,0.008345337002538145,1.0,0.0
0.0,0.0,0.008195418005925603,1.0,0.0
0.0,0.0,0.008539039001334459,1.0,0.0
0.0,0.0,0.008341877997736447,1.0,0.0
0.0,0.0,0.007969287995365448,1.0,0.0
0.0,0.0,0.008595863007940352,1.0,0.0
0.0,0.0,0.00835903300321661,1.0,0.0
0.0,0.0,0.008072006996371783,1.0,0.0
0.0,0.0,0.008600006010965444,1.0,0.0
0.0,0.0,0.008327013987582177,1.0,0.0
0.0,0.0,0.008258119996753521,1.0,0.0
0.0,0.0,0.008406850000028498,1.0,0.0
0.0,0.0,0.008296182990306988,1.0,0.0
0.0,0.0,0.0082316980115138,1.0,0.0
0.0,0.0,0.008318675012560561,1.0,0.0
0.0,0.0,0.008470478001981974,1.0,0.0
0.0,0.0,0.008214904999476857,1.0,0.0
0.0,0.0,0.008454801005427726,1.0,0.0
0.0,0.0,0.008445248997304589,1.0,0.0
0.0,0.0,0.00814641299075447,1.0,0.0
0.0,0.0,0.00841217499691993,1.0,0.0
0.0,0.0,0.008346493006683886,1.0,0.0
0.0,0.0,0.008236802008468658,1.0,0.0
0.0,0.0,0.008378612998058088,1.0,0.0
0.0,0.0,0.008218297007260844,1.0,0.0
0.0,0.0,0.008403060011914931,1.0,0.0
0.0,0.0,0.008284373994683847,1.0,0.0
0.0,0.0,0.00849352999648545,1.0,0.0
0.0,0.0,0.008074589000898413,1.0,0.0
0.0,0.0,0.008369542003492825,1.0,0.0
0.0,0.0,0.00841514699277468,1.0,0.0
0.0,0.0,0.008382394997170195,1.0,0.0
0.0,0.0,0.008251508988905698,1.0,0.0
0.0,0.0,0.008480026997858658,1.0,0.0
0.0,0.0,0.008093986005405895,1.0,0.0
0.0,0.0,0.008586782001657411,1.0,0.0
0.0,0.0,0.008422503000474535,1.0,0.0
0.0,0.0,0.008191585991880856,1.0,0.0
0.0,0.0,0.008452530004433356,1.0,0.0
0.0,0.0,0.008259959999122657,1.0,0.0
0.0,0.0,0.008116283992421813,1.0,0.0
0.0,0.0,0.008375488003366627,1.0,0.0
0.0,0.0,0.008499934003339149,1.0,0.0
0.0,0.0,0.008121339007630013,1.0,0.0
0.0,0.0,0.008583334987633862,1.0,0.0
0.0,0.0,0.008420148995355703,1.0,0.0
0.0,0.0,0.008074167999438941,1.0,0.0
0.0,0.0,0.008495665999362245,1.0,0.0
0.0,0.0,0.008399667000048794,1.0,0.0
0.0,0.0,0.008177190000424162,1.0,0.0
0.0,0.0,0.008219980998546816,1.0,0.0
0.0,0.0,0.008634593992610462,1.0,0.0
0.0,0.0,0.008160504003171809,1.0,0.0
0.0,0.0,0.008465102000627667,1.0,0.0
0.0,0.0,0.008390589995542541,1.0,0.0
0.0,0.0,0.008047547002206556,1.0,0.0
0.0,0.0,0.008506465994287282,1.0,0.0
0.0,0.0,0.008292711005196907,1.0,0.0
0.0,0.0,0.00818666399572976,1.0,0.0
0.0,0.0,0.008330751006724313,1.0,0.0
0.0,0.0,0.008487105995300226,1.0,0.0
0.0,0.0,0.008278642999357544,1.0,0.0
0.0,0.0,0.008460401993943378,1.0,0.0
0.0,0.0,0.00842245300009381,1.0,0.0
0.0,0.0,0.008123229999910109,1.0,0.0
0.0,0.0,0.008381292995181866,1.0,0.0
0.0,0.0,0.008456811003270559,1.0,0.0
0.0,0.0,0.008309236000059173,1.0,0.0
0.0,0.0,0.008279579007648863,1.0,0.0
0.0,0.0,0.00841402800870128,1.0,0.0
0.0,0.0,0.008064260007813573,1.0,0.0
0.0,0.0,0.008445706000202335,1.0,0.0
0.0,0.0,0.008508044003974646,1.0,0.0
0.0,0.0,0.00801542800036259,1.0,0.0
0.0,0.0,0.0085680060001323,1.0,0.0
0.0,0.0,0.008403927000472322,1.0,0.0
0.0,0.0,0.008056203994783573,1.0,0.0
0.0,0.0,0.008499611998558976,1.0,0.0
0.0,0.0,0.00828976699267514,1.0,0.0
0.0,0.0,0.00847436100593768,1.0,0.0
0.0,0.0,0.008291297999676317,1.0,0.0
0.0,0.0,0.0083568709960673,1.0,0.0
0.0,0.0,0.008169948996510357,1.0,0.0
0.0,0.0,0.00836847600294277,1.0,0.0
0.0,0.0,0.00835180698777549,1.0,0.0
0.0,0.0,0.008396589997573756,1.0,0.0
0.0,0.0,0.008356594000360928,1.0,0.0
0.0,0.0,0.00839366900618188,1.0,0.0
0.0,0.0,0.008091837997199036,1.0,0.0
0.0,0.0,0.008406770008150488,1.0,0.0
0.0,0.0,0.008471428998745978,1.0,0.0
0.0,0.0,0.008228941005654633,1.0,0.0
0.0,0.0,0.008282355993287638,1.0,0.0
0.0,0.0,0.008491696004057303,1.0,0.0
0.0,0.0,0.008163131002220325,1.0,0.0
0.0,0.0,0.008588927012169734,1.0,0.0
0.0,0.0,0.008134963994962163,1.0,0.0
0.0,0.0,0.008320191991515458,1.0,0.0
0.0,0.0,0.008220750009058975,1.0,0.0
0.0,0.0,0.008566345000872388,1.0,0.0
0.0,0.0,0.008204643992939964,1.0,0.0
0.0,0.0,0.008347883995156735,1.0,0.0
0.0,0.0,0.008290402009151876,1.0,0.0
0.0,0.0,0.008226100006140769,1.0,0.0
0.0,0.0,0.008316095991176553,1.0,0.0
0.0,0.0,0.008604986011050642,1.0,0.0
0.0,0.0,0.008288470999104902,1.0,0.0
0.0,0.0,0.008360959007404745,1.0,0.0
0.0,0.0,0.00835446099517867,1.0,0.0
0.0,0.0,0.008231725994846784,1.0,0.0
0.0,0.0,0.008332077995873988,1.0,0.0
0.0,0.0,0.008289625999168493,1.0,0.0
0.0,0.0,0.008341855005710386,1.0,0.0
0.0,0.0,0.008339104009792209,1.0,0.0
0.0,0.0,0.008392329007619992,1.0,0.0
0.0,0.0,0.008261787006631494,1.0,0.0
0.0,0.0,0.008363294997252524,1.0,0.0
0.0,0.0,0.008367561997147277,1.0,0.0
0.0,0.0,0.008305839000968263,1.0,0.0
0.0,0.0,0.008346980001078919,1.0,0.0
0.0,0.0,0.008330898999702185,1.0,0.0
0.0,0.0,0.008323358997586183,1.0,0.0
0.0,0.0,0.008343120993231423,1.0,0.0
0.0,0.0,0.008335046004503965,1.0,0.0
0.0,0.0,0.00828238800750114,1.0,0.0
0.0,0.0,0.008345126989297569,1.0,0.0
0.0,0.0,0.008307162002893165,1.0,0.0
0.0,0.0,0.008374858007300645,1.0,0.0
0.0,0.0,0.008433611990767531,1.0,0.0
0.0,0.0,0.008235450004576705,1.0,0.0
0.0,0.0,0.008321331013576128,1.0,0.0
0.0,0.0,0.008342650005943142,1.0,0.0
0.0,0.0,0.00824528600787744,1.0,0.0
0.0,0.0,0.008444845996564254,1.0,0.0
0.0,0.0,0.008384120999835432,1.0,0.0
0.0,0.0,0.008255540000391193,1.0,0.0
0.0,0.0,0.008328723997692578,1.0,0.0
0.0,0.0,0.008329889999004081,1.0,0.0
0.0,0.0,0.008325493006850593,1.0,0.0
0.0,0.0,0.00833347901061643,1.0,0.0
0.0,0.0,0.008351682001375593,1.0,0.0
0.0,0.0,0.008223562996136025,1.0,0.0
0.0,0.0,0.008504037003149278,1.0,0.0
0.0,0.0,0.008312346006277949,1.0,0.0
0.0,0.0,0.008282112001325004,1.0,0.0
0.0,0.0,0.008338906001881696,1.0,0.0
0.0,0.0,0.00831461999041494,1.0,0.0
0.0,0.0,0.00834653599304147,1.0,0.0
0.0,0.0,0.008314017992233858,1.0,0.0
0.0,0.0,0.008442507009021938,1.0,0.0
0.0,0.0,0.008122735991491936,1.0,0.0
0.0,0.0,0.008454630005871877,1.0,0.0
0.0,0.0,0.008367465998162515,1.0,0.0
0.0,0.0,0.008234925000579096,1.0,0.0
0.0,0.0,0.008502559998305514,1.0,0.0
0.0,0.0,0.00833159699686803,1.0,0.0
0.0,0.0,0.008179230004316196,1.0,0.0
0.0,0.0,0.008353925994015299,1.0,0.0
0.0,0.0,0.008336426995811053,1.0,0.0
0.0,0.0,0.00824558999738656,1.0,0.0
0.0,0.0,0.008443034996162169,1.0,0.0
0.0,0.0,0.008434356001089327,1.0,0.0
0.0,0.0,0.008087382011581212,1.0,0.0
0.0,0.0,0.008340047003002837,1.0,0.0
0.0,0.0,0.008448791995760985,1.0,0.0
0.0,0.0,0.008191559012630023,1.0,0.0
0.0,0.0,0.008387348003452644,1.0,0.0
0.0,0.0,0.008431112000835128,1.0,0.0
0.0,0.0,0.00814351900771726,1.0,0.0
0.0,0.0,0.008395563010708429,1.0,0.0
0.0,0.0,0.008517957001458853,1.0,0.0
0.0,0.0,0.008137969009112567,1.0,0.0
0.0,0.0,0.008486093996907584,1.0,0.0
0.0,0.0,0.00835019200167153,1.0,0.0
0.0,0.0,0.008197571005439386,1.0,0.0
0.0,0.0,0.008478015006403439,1.0,0.0
0.0,0.0,0.008298082000692375,1.0,0.0
0.0,0.0,0.00816555300843902,1.0,0.0
0.0,0.0,0.008515669003827497,1.0,0.0
0.0,0.0,0.008179445008863695,1.0,0.0
0.0,0.0,0.008475735012325458,1.0,0.0
0.0,0.0,0.008193679997930303,1.0,0.0
0.0,0.0,0.008493383997119963,1.0,0.0
0.0,0.0,0.008167918000253849,1.0,0.0
0.0,0.0,0.008455603994661942,1.0,0.0
0.0,0.0,0.008337146995472722,1.0,0.0
0.0,0.0,0.008291200996609405,1.0,0.0
0.0,0.0,0.008476349001284689,1.0,0.0
0.0,0.0,0.008235549001256004,1.0,0.0
0.0,0.0,0.008306952004204504,1.0,0.0
0.0,0.0,0.00838031199236866,1.0,0.0
0.0,0.0,0.008318256994243711,1.0,0.0
0.0,0.0,0.008300717003294267,1.0,0.0
0.0,0.0,0.008439691009698436,1.0,0.0
0.0,0.0,0.008280067006126046,1.0,0.0
0.0,0.0,0.008257975001470186,1.0,0.0
0.0,0.0,0.008403810003073886,1.0,0.0
0.0,0.0,0.008303740993142128,1.0,0.0
0.0,0.0,0.008314502003486268,1.0,0.0
0.0,0.0,0.00837904799846001,1.0,0.0
0.0,0.0,0.008319050000864081,1.0,0.0
0.0,0.0,0.008291456004371867,1.0,0.0
0.0,0.0,0.00838287200895138,1.0,0.0
0.0,0.0,0.008064851994276978,1.0,0.0
0.0,0.0,0.008372791009605862,1.0,0.0
0.0,0.0,0.008551279999664985,1.0,0.0
0.0,0.0,0.008466462008072995,1.0,0.0
0.0,0.0,0.008333802994457074,1.0,0.0
0.0,0.0,0.00820148500497453,1.0,0.0
0.0,0.0,0.008327338000526652,1.0,0.0
0.0,0.0,0.008304820992634632,1.0,0.0
0.0,0.0,0.008212947999709286,1.0,0.0
0.0,0.0,0.008487799001159146,1.0,0.0
0.0,0.0,0.008269885001936927,1.0,0.0
0.0,0.0,0.008363446002476849,1.0,0.0
0.0,0.0,0.00839284699759446,1.0,0.0
0.0,0.0,0.008435943003860302,1.0,0.0
0.0,0.0,0.008295213003293611,1.0,0.0
0.0,0.0,0.008252257001004182,1.0,0.0
0.0,0.0,0.008421885999268852,1.0,0.0
0.0,0.0,0.008284210009151138,1.0,0.0
0.0,0.0,0.008274513005744666,1.0,0.0
0.0,0.0,0.00834413300617598,1.0,0.0
0.0,0.0,0.008332197001436725,1.0,0.0
0.0,0.0,0.008326213006512262,1.0,0.0
0.0,0.0,0.008439174009254202,1.0,0.0
0.0,0.0,0.008242862997576594,1.0,0.0
0.0,0.0,0.008344624991877936,1.0,0.0
0.0,0.0,0.008406827997532673,1.0,0.0
0.0,0.0,0.008221997995860875,1.0,0.0
0.0,0.0,0.008333525009220466,1.0,0.0
0.0,0.0,0.008441027996013872,1.0,0.0
0.0,0.0,0.008222946009482257,1.0,0.0
0.0,0.0,0.008315800994751044,1.0,0.0
0.0,0.0,0.008374501994694583,1.0,0.0
0.0,0.0,0.008370063005713746,1.0,0.0
0.0,0.0,0.008270837992313318,1.0,0.0
0.0,0.0,0.00844051901367493,1.0,0.0
0.0,0.0,0.00825541399535723,1.0,0.0
0.0,0.0,0.008440009012701921,1.0,0.0
0.0,0.0,0.008041042005061172,1.0,0.0
0.0,0.0,0.00837383400357794,1.0,0.0
0.0,0.0,0.008312873003887944,1.0,0.0
0.0,0.0,0.008381913998164237,1.0,0.0
0.0,0.0,0.008279924993985333,1.0,0.0
0.0,0.0,0.008354275007150136,1.0,0.0
0.0,0.0,0.00816305800981354,1.0,0.0
0.0,0.0,0.008697740006027743,1.0,0.0
0.0,0.0,0.008262542003649287,1.0,0.0
0.0,0.0,0.008332028999575414,1.0,0.0
0.0,0.0,0.00837599000078626,1.0,0.0
0.0,0.0,0.008265269003459252,1.0,0.0
0.0,0.0,0.008389636990614235,1.0,0.0
0.0,0.0,0.008143807004671544,1.0,0.0
0.0,0.0,0.00834925498929806,1.0,0.0
0.0,0.0,0.008332755998708308,1.0,0.0
0.0,0.0,0.008455456991214305,1.0,0.0
0.0,0.0,0.00837503200455103,1.0,0.0
0.0,0.0,0.008306193005410023,1.0,0.0
0.0,0.0,0.008409232992562465,1.0,0.0
0.0,0.0,0.008123284002067521,1.0,0.0
0.0,0.0,0.008329610995133407,1.0,0.0
0.0,0.0,0.00857138900028076,1.0,0.0
0.0,0.0,0.008105391010758467,1.0,0.0
0.0,0.0,0.008347063005203381,1.0,0.0
0.0,0.0,0.00853451999137178,1.0,0.0
0.0,0.0,0.008143140003085136,1.0,0.0
0.0,0.0,0.008452756999759004,1.0,0.0
0.0,0.0,0.008325492002768442,1.0,0.0
0.0,0.0,0.008193645000574179,1.0,0.0
0.0,0.0,0.008322790992679074,1.0,0.0
0.0,0.0,0.008583515009377152,1.0,0.0
0.0,0.0,0.00807604199508205,1.0,0.0
0.0,0.0,0.008373132994165644,1.0,0.0
0.0,0.0,0.008469808992231265,1.0,0.0
0.0,0.0,0.008272602994111367,1.0,0.0
0.0,0.0,0.008349833005922846,1.0,0.0
0.0,0.0,0.00840748600603547,1.0,0.0
0.0,0.0,0.008257230001618154,1.0,0.0
0.0,0.0,0.008321524001075886,1.0,0.0
0.0,0.0,0.008465523991617374,1.0,0.0
0.0,0.0,0.008202650002203882,1.0,0.0
0.0,0.0,0.008358261999092065,1.0,0.0
0.0,0.0,0.008193285000743344,1.0,0.0
0.0,0.0,0.008428900997387245,1.0,0.0
0.0,0.0,0.008413592993747443,1.0,0.0
0.0,0.0,0.008298699001898058,1.0,0.0
0.0,0.0,0.008288311000796966,1.0,0.0
0.0,0.0,0.00835955300135538,1.0,0.0
0.0,0.0,0.008408310997765511,1.0,0.0
0.0,0.0,0.008229441998992115,1.0,0.0
0.0,0.0,0.008375129007617943,1.0,0.0
0.0,0.0,0.008375281991902739,1.0,0.0
0.0,0.0,0.008225912999478169,1.0,0.0
0.0,0.0,0.00840164600231219,1.0,0.0
0.0,0.0,0.008333972000400536,1.0,0.0
0.0,0.0,0.00827099900925532,1.0,0.0
0.0,0.0,0.008251278995885514,1.0,0.0
0.0,0.0,0.008614197009592317,1.0,0.0
0.0,0.0,0.008122256011120044,1.0,0.0
