x,y,Expected_x,Expected_y,Left_PWM,Right_PWM,dt
0.03568377,0.03568377,0.0,0.0,0.0,0.0,0.0
0.6296426282540359,0.5850856044190802,0.629528183843501,0.5844752342295603,0.07254554887539277,0.2132724997711113,0.3051545762504959
0.6296426282540359,0.5851237525559252,0.629566331980346,0.5846659749137852,0.049616992706076335,0.18430127872554714,0.8315988647114475
0.6296426282540359,0.5850856044190802,0.629566331980346,0.5847804193243202,0.02692342905972467,0.16013061922055738,0.846842860194708
0.629566331980346,0.5850474562822352,0.629566331980346,0.5848948637348552,0.016147343363750233,0.1382427442243721,0.846842860194708
0.629566331980346,0.5849711600085452,0.629566331980346,0.5849330118717002,-0.0016785180211797979,0.12139042329172645,0.8621326334421826
0.629528183843501,0.5849330118717002,0.629566331980346,0.5849711600085452,-0.006646931363872177,0.11011078218939785,0.8544877468184454
0.629490035706656,0.5848948637348552,0.629566331980346,0.5849711600085452,-0.012857448042237651,0.0976561784722434,0.8697317423017059
0.629413739432966,0.5848567155980102,0.629566331980346,0.5849711600085452,-0.01138035218359934,0.094701986754967,0.8621326334421826
0.629375591296121,0.5848185674611652,0.629566331980346,0.5849711600085452,-0.01154820398571732,0.0917813653981141,0.8621326334421826
0.629413739432966,0.5847041230506302,0.629528183843501,0.5849330118717002,-0.021921445356608782,0.08892788476210822,0.8621326334421826
0.629413739432966,0.5847041230506302,0.629528183843501,0.5848948637348552,-0.01879940183721418,0.094701986754967,0.8697317423017059
0.629337443159276,0.5846278267769403,0.629490035706656,0.5848567155980102,-0.019537949766533558,0.0890957365642262,0.8621326334421826
0.629337443159276,0.5845896786400953,0.629451887569811,0.5847804193243202,-0.013763847773674787,0.0964476454969938,0.8544877468184454
0.629299295022431,0.5845133823664053,0.629451887569811,0.5847041230506302,-0.01091036713766913,0.1012146366771447,0.8621326334421826
0.629299295022431,0.5844752342295603,0.629413739432966,0.5846278267769403,-0.012085329752494989,0.10306100650044248,0.8621326334421826
0.629261146885586,0.5844370860927153,0.629375591296121,0.5845133823664053,-0.007385479293191333,0.11111789300210573,0.8621326334421826
0.629222998748741,0.5843607898190253,0.629337443159276,0.5844752342295603,0.0003692739646594667,0.11561632129886767,0.8621326334421826
0.629222998748741,0.5842844935453353,0.629299295022431,0.5843607898190253,-0.002349925229651939,0.1179326761680961,0.8697317423017059
0.629184850611896,0.5841700491348003,0.629261146885586,0.5842463454084903,-0.00463270973845642,0.11967833491012292,0.8621326334421826
0.629184850611896,0.5840556047242653,0.629222998748741,0.5841319009979553,-0.0030884731589708725,0.12444532609027359,0.8544877468184454
0.629070406201361,0.5839793084505753,0.629184850611896,0.5840174565874203,0.004397717215491426,0.12676168095950202,0.8697317423017059
0.629070406201361,0.5839030121768853,0.629070406201361,0.5839030121768853,0.006244087038789203,0.13169652394177067,0.8621326334421826
0.629032258064516,0.5838267159031953,0.629070406201361,0.5837504196295054,0.011279641102328597,0.13814203314310136,0.8621326334421826
0.628994109927671,0.5837122714926604,0.629032258064516,0.5836359752189704,0.01201818903164753,0.14153263954588446,0.8621326334421826
0.628879665517136,0.5835978270821254,0.628955961790826,0.5834833826715904,0.02229071932126847,0.14220404675435638,0.8697317423017059
0.628765221106601,0.5835215308084354,0.628879665517136,0.5832926419873654,0.031623279519028324,0.14572893459883418,0.8544877468184454
0.628727072969756,0.5834070863979004,0.628841517380291,0.5831781975768304,0.034577471236304724,0.15321512497329626,0.8621326334421826
0.6286507766960661,0.5832544938505204,0.628765221106601,0.5829874568926054,0.036390270699178995,0.15499435407574702,0.8697317423017059
0.6285744804223761,0.5832163457136754,0.6286889248329111,0.5828348643452255,0.04807275612659079,0.1658375804925687,0.8621326334421826
0.6284600360118411,0.5830637531662954,0.6286126285592211,0.5826441236610005,0.054551835688344985,0.16237983336893835,0.8697317423017059
0.6283837397381511,0.5829874568926054,0.6285363322855311,0.5824533829767755,0.06331369975890366,0.17194738608966342,0.8697317423017059
0.6283074434644611,0.5828348643452255,0.6284600360118411,0.5822626422925505,0.0647907956175422,0.1781579027680289,0.8621326334421826
0.6281929990539261,0.5826822717978455,0.6283837397381511,0.5820719016083256,0.0677449873348186,0.17446516312143312,0.8697317423017059
0.6280785546433911,0.5825296792504655,0.6283074434644611,0.5818811609241006,0.07123630481887266,0.1768822290719323,0.8697317423017059
0.6280404065065461,0.5823770867030855,0.6282311471907711,0.5816522721030306,0.07308267464217044,0.18594622638630343,0.8697317423017059
0.6280404065065461,0.5822626422925505,0.6281548509170811,0.5814615314188056,0.07751396221808537,0.19917294839320054,0.8697317423017059
0.6279641102328561,0.5819956053346356,0.6280785546433911,0.5812326425977357,0.06445509201330624,0.19188818018127995,0.8621326334421826
0.6278496658223212,0.5818048646504106,0.6279641102328561,0.5810037537766657,0.06667073580126348,0.19131748405407878,0.8773308511612293
0.6277733695486312,0.5816522721030306,0.6278496658223212,0.5807748649555955,0.0673421430097354,0.19433881649220264,0.8697317423017059
0.6277352214117862,0.5814615314188056,0.6277733695486312,0.5805459761345255,0.06975920896023435,0.20226142155217142,0.8697317423017059
0.6276207770012512,0.5812326425977357,0.6276970732749412,0.5803170873134555,0.06720786156804115,0.19558091982787573,0.8621326334421826
0.6275444807275612,0.5810037537766657,0.6275826288644062,0.5800500503555406,0.06415295876949356,0.19480880153813307,0.8773308511612293
0.6273918881801812,0.5807748649555955,0.6274681844538712,0.5798211615344706,0.06616718039490954,0.19269386883144612,0.8621326334421826
0.6272392956328012,0.5806222724082155,0.6273537400433362,0.5795541245765556,0.07620471816156504,0.2019928586687827,0.8697317423017059
0.6272011474959562,0.5803933835871455,0.6272392956328012,0.5792870876186407,0.07751396221808537,0.20605487228003794,0.8773308511612293
0.6270867030854212,0.5801644947660756,0.6271629993591112,0.5790200506607257,0.07902462843714719,0.2063905758842739,0.8697317423017059
0.6269341105380413,0.5798593096713156,0.6270485549485763,0.5787530137028107,0.07120273445844894,0.19403668324839018,0.8697317423017059
0.6267815179906613,0.5796304208502456,0.6268959624011963,0.5784859767448958,0.07976317636646613,0.1989043855098116,0.8697317423017059
0.6266289254432813,0.5794396801660207,0.6267815179906613,0.5781807916501358,0.0842616046632283,0.2038727988525042,0.8697317423017059
0.6265526291695913,0.5791344950712607,0.6266289254432813,0.5779137546922208,0.07593615527817632,0.19652088991973637,0.8697317423017059
0.6264381847590563,0.5788293099765007,0.6265526291695913,0.5776085695974609,0.070699179052095,0.19027680288094717,0.8621326334421826
0.6262855922116763,0.5785241248817408,0.6264381847590563,0.5773415326395459,0.07207556382946256,0.18762474440748322,0.8773308511612293
0.6262092959379864,0.5782189397869808,0.6262855922116763,0.5770363475447859,-0.060158085879085776,0.0612659077730644,0.968886379589221
0.6260185552537614,0.5778756065553758,0.6261329996642964,0.576693014313181,-0.06267586291085547,0.05616321298867777,0.968886379589221
0.6259422589800714,0.5775322733237709,0.6260185552537614,0.576349681081576,-0.06959135715811637,0.05821100497451703,0.9918210394604329
0.6257515182958464,0.5771889400921659,0.6258659627063814,0.5760444959868161,-0.06895352031006796,0.05398113956114381,0.976577043977172
0.6256370738853114,0.576921903134251,0.6256752220221564,0.5757393108920561,-0.07019562364574106,0.05633106479079575,0.9841761528366955
0.6254844813379314,0.576654866176336,0.6255226294747764,0.5754341257972961,-0.06928922391430392,0.057237464522232884,0.9841761528366955
0.6253318887905515,0.576349681081576,0.6253700369273965,0.5751289407025362,-0.07220984527115704,0.057707449568163094,0.9841761528366955
0.6251411481063265,0.5760826441236611,0.6252174443800165,0.5748619037446212,-0.07395550401318407,0.05364543595690785,0.976577043977172
0.6250267036957915,0.5758537553025911,0.6250267036957915,0.5745948667867062,-0.07318338572344119,0.05941953794976662,0.9841761528366955
0.6249122592852565,0.5755867183446761,0.6248741111484115,0.5743278298287913,-0.07868892483291123,0.060191656239509284,0.9841761528366955
0.6247596667378765,0.5753578295236061,0.6246833704641865,0.5740989410077213,-0.08365733817560361,0.05824457533494076,0.9841761528366955
0.6245689260536516,0.5750907925656912,0.6244926297799616,0.5738700521866513,-0.08845789971617801,0.05196691793572805,0.9841761528366955
0.6243400372325816,0.5748237556077762,0.6243400372325816,0.5736793115024263,-0.09171422467726664,0.04236579485457925,0.9841761528366955
0.6241492965483566,0.5745948667867062,0.6241492965483566,0.5734885708182014,-0.09275490585039825,0.037363811151463366,0.9841761528366955
0.6239585558641316,0.5744422742393263,0.6239585558641316,0.5732978301339764,-0.09107638782921845,0.038673055207983476,0.976577043977172
0.6237296670430617,0.5742896816919463,0.6237678151799066,0.5731070894497514,-0.0857387005218666,0.03669240394299145,0.9841761528366955
0.6235389263588367,0.5740989410077213,0.6235770744956817,0.5729163487655264,-0.08815576647236534,0.035081026642658664,0.976577043977172
0.6233863338114567,0.5739463484603413,0.6233863338114567,0.5728019043549915,-0.09154637287514866,0.03884090701010168,0.976577043977172
0.6231955931272317,0.5737937559129613,0.6231955931272317,0.5726874599444565,-0.09298989837336347,0.03568529313028357,0.9841761528366955
0.6230430005798517,0.5736411633655814,0.6229667043061617,0.5725730155339215,-0.10238959929197056,0.035047456282235157,0.9841761528366955
