x,y,dt,obstructed,visable
0.17951850593090057,0.9611602425575256,0.008418003999395296,1.0,1.0
0.17933185398578644,0.962043821811676,0.00819311999657657,1.0,1.0
0.17963510751724243,0.9607409238815308,0.00844127099844627,1.0,1.0
0.17936904728412628,0.9621864557266235,0.00846739400003571,1.0,1.0
0.17958490550518036,0.9611740112304688,0.008197620998544153,1.0,1.0
0.17948530614376068,0.9611534476280212,0.008356564998393878,1.0,1.0
0.17934253811836243,0.9615666270256042,0.008447553002042696,1.0,1.0
0.17958196997642517,0.9619999527931213,0.008244313998147845,1.0,1.0
0.1792656034231186,0.9621647596359253,0.00842493399977684,1.0,1.0
0.17958490550518036,0.9611740112304688,0.008214163994125556,1.0,1.0
0.17958490550518036,0.9611740708351135,0.008412827002757695,1.0,1.0
0.17961037158966064,0.9620672464370728,0.008146785003191326,1.0,1.0
0.17936770617961884,0.9620513916015625,0.008394074997340795,1.0,1.0
0.179402157664299,0.9620941281318665,0.008210979998693801,1.0,1.0
0.17930097877979279,0.9629912376403809,0.008483055004035123,1.0,1.0
0.17935816943645477,0.9626052379608154,0.00834412699623499,1.0,1.0
0.17965881526470184,0.9615744948387146,0.008364437999262009,1.0,1.0
0.17963510751724243,0.9607409834861755,0.008286491996841505,1.0,1.0
0.17940355837345123,0.9620587229728699,0.00816740300069796,1.0,1.0
0.17955170571804047,0.96116703748703,0.008503935998305678,1.0,1.0
0.17943942546844482,0.9620662331581116,0.008397050005441997,1.0,1.0
0.17958196997642517,0.9619999527931213,0.008269038997241296,1.0,1.0
0.17961810529232025,0.9611808657646179,0.008325610004249029,1.0,1.0
0.17955170571804047,0.96116703748703,0.008228703998611309,1.0,1.0
0.1796128898859024,0.9620063304901123,0.008270398997410666,1.0,1.0
0.1796128898859024,0.9620063304901123,0.008523226002580486,1.0,1.0
0.1796886920928955,0.9615806937217712,0.008191968001483474,1.0,1.0
0.1796991378068924,0.9607542157173157,0.008511453001119662,1.0,1.0
0.17936770617961884,0.9620513916015625,0.00840990000142483,1.0,1.0
0.17936770617961884,0.962051272392273,0.008193875997676514,1.0,1.0
0.17936770617961884,0.9620513916015625,0.008412449999013916,1.0,1.0
0.17962947487831116,0.9616590142250061,0.008307935997436289,1.0,1.0
0.17958196997642517,0.9620000123977661,0.008173321002686862,1.0,1.0
0.17960309982299805,0.9607343077659607,0.008398922000196762,1.0,1.0
0.17941723763942719,0.9615822434425354,0.008250553997640964,1.0,1.0
0.17971858382225037,0.9615868330001831,0.008517664995451923,1.0,1.0
0.1796128898859024,0.9620063900947571,0.0082453950017225,1.0,1.0
0.17971858382225037,0.9615868926048279,0.008413196999754291,1.0,1.0
0.1796128898859024,0.9620063900947571,0.008227113001339603,1.0,1.0
0.17934253811836243,0.961566686630249,0.008341710999957286,1.0,1.0
0.17958490550518036,0.9611740112304688,0.00844475299527403,1.0,1.0
0.17935816943645477,0.9626052379608154,0.008441204998234753,1.0,1.0
0.17958196997642517,0.9619999527931213,0.0082121060040663,1.0,1.0
0.17958196997642517,0.9620000123977661,0.008475580994854681,1.0,1.0
0.17930008471012115,0.9621717929840088,0.008317434003402013,1.0,1.0
0.1796128898859024,0.9620063900947571,0.008190073996956926,1.0,1.0
0.17967472970485687,0.9620190262794495,0.008340776999830268,1.0,1.0
0.17936770617961884,0.9620512127876282,0.008361177999177016,1.0,1.0
0.17943942546844482,0.9620661735534668,0.008314323000377044,1.0,1.0
