Px,Py,x,y,Mxv,Myv,dt
0.3253476023674011,0.1966497302055359,0.10665996372699738,0.3933831453323364,0.45139366388320923,-1.2923451662063599,0.008350775002327282
0.3397354539478128,0.20839117068443913,0.11461685050921246,0.3800768697101193,0.26438580167118797,-1.8544030142928316,0.008332263998454437
0.35407689213752747,0.2200452834367752,0.11806885153055191,0.36139512062072754,0.7229930758476257,-1.9215524196624756,0.008308671000122558
0.3685927380136518,0.23186279913788665,0.12108728030273652,0.346380384775987,0.6114761973001643,-1.689200379494015,0.008363032000488602
0.3828825354576111,0.24370531737804413,0.1295270323753357,0.3310149610042572,0.36885374784469604,-1.5541878938674927,0.00834839299932355
0.39717813828817605,0.25561956984890843,0.13204151120682728,0.3209860137326771,0.8478634356470789,-1.2870916178467477,0.008343373003299348
0.4116532504558563,0.26764869689941406,0.13696236908435822,0.3087890148162842,1.0151342153549194,-1.4903664588928223,0.00833301999955438
0.4262404138340643,0.27958242261043975,0.14590747942824153,0.296536251648872,0.5795875654123134,-1.602189637846506,0.008300615998450667
0.44084081053733826,0.29149529337882996,0.1537812352180481,0.2839336693286896,0.871691882610321,-1.3129500150680542,0.008328556003107224
0.4554533761052826,0.303211803718049,0.1586542103062681,0.272813672642431,1.3388102321749704,-0.829599443979333,0.00837529799900949
0.4701470732688904,0.31492844223976135,0.16928991675376892,0.26789817214012146,0.6987630724906921,-0.5363677740097046,0.008299649001855869
0.48461255040651574,0.326631033992862,0.17863460549382715,0.2654524167113614,0.9534784000312073,-0.21123737641271922,0.008325118993525393
0.4991663694381714,0.3381882309913635,0.18653064966201782,0.2649116814136505,1.442653775215149,0.1145465224981308,0.008376634999876842
0.5137498510011898,0.34973523886737423,0.196056675882818,0.2671767875519356,1.704403522348954,0.22789891562747921,0.008640505002404097
0.5280619263648987,0.36130234599113464,0.21053321659564972,0.26886117458343506,1.2200148105621338,0.3069656491279602,0.008026982999581378
0.5424646951081329,0.3728431346873703,0.22412452743855002,0.2730666942307339,1.7591157137773281,0.5739462146381278,0.008355985002708621
0.5567519664764404,0.38434597849845886,0.23815542459487915,0.2780204117298126,2.085256814956665,0.601471483707428,0.008312004996696487
0.5710933060776147,0.3959108725390691,0.2537838997369917,0.2823450516406453,1.7314710964996998,0.6612594069111382,0.008326973002112936
0.5852892398834229,0.40762096643447876,0.27279651165008545,0.2904326915740967,2.167036533355713,0.644727885723114,0.00835784499940928
0.5994642629212437,0.41943602373034505,0.2910806613810893,0.297407057205848,2.8401331089395363,0.6184834713727156,0.008325859998876695
0.6136701107025146,0.43128225207328796,0.3124120831489563,0.30131250619888306,2.699124574661255,0.7720138430595398,0.008311987003253307
0.6280706607488096,0.44324221972222544,0.33604850741864006,0.307197534040221,2.5470891313556066,0.9405814540561162,0.008390577997488435
0.6425414681434631,0.4550401568412781,0.36261001229286194,0.3172862231731415,3.0085983276367188,0.9119125604629517,0.008263739000540227
0.6570525231214677,0.46680459634551086,0.3861942650040036,0.32460869603299874,3.526063000212927,0.9064323234872759,0.008371798998268787
0.6716150045394897,0.4785173535346985,0.4107811450958252,0.3300260007381439,3.2511067390441895,1.1014949083328247,0.008311303005029913
0.6860565207052085,0.49008944253650744,0.44508852219371925,0.34152936062673944,3.343081267810128,1.488128885190931,0.008330835000379011
0.7006432414054871,0.5015617609024048,0.4740544855594635,0.355241596698761,3.729961395263672,1.6701023578643799,0.008371901996724773
0.7151339833097103,0.5130209854826888,0.5000250648058359,0.36885045689348184,3.9346341825288644,1.6855060387814733,0.008318150998093188
0.7293559908866882,0.5244488716125488,0.5362193584442139,0.3841421902179718,3.9062588214874268,1.963342547416687,0.008356358004675712
0.7437539000530138,0.5359694605784524,0.5717338837091106,0.4029907390844375,3.7806570008722935,2.6161812850531407,0.008341777996974997
0.758044958114624,0.5474528074264526,0.5980251431465149,0.42294105887413025,4.008437633514404,3.049104690551758,0.008301806999952532
0.7723376168974763,0.5588215833868677,0.6349727816437474,0.4538093798660473,4.137914134248334,3.104788972042209,0.008356049002031796
0.7863970398902893,0.5703484416007996,0.669575572013855,0.47838059067726135,4.129118919372559,2.8510169982910156,0.008346214999619406
0.8005017854286289,0.5818972898434132,0.699090697614133,0.4978258841783786,4.248925391593432,3.1238021263385574,0.008341059001395479
0.8146925568580627,0.593689501285553,0.7412012815475464,0.5318652987480164,3.6820178031921387,3.184882164001465,0.008310950994200539
0.8283809866676526,0.6071445275388774,0.7674234770032294,0.5547055159749879,3.808536201812286,3.419063365189025,0.008655228004499804
0.8415192365646362,0.6165304780006409,0.8004199266433716,0.5893177390098572,3.1245386600494385,3.4260354042053223,0.008343584995600395
0.8806565730738276,0.6389198049052907,0.8251216487540636,0.6170589314809825,2.751773562837717,2.7118593499551533,0.008297147003759164
0.9247010350227356,0.6721594929695129,0.8470340967178345,0.634802520275116,2.5108165740966797,1.8510122299194336,0.00834063500224147
0.9673381545617854,0.705060416201053,0.8659886801537244,0.6515201201964332,2.052440069404188,1.1055173316450457,0.008115661999909207
