x,y,Expected_x,Expected_y,pwm_x,pwm_y,dt
0.03573728,0.03573728,0.0,0.0,0.0,0.0,0.0
0.4573274941251869,0.5712759788811916,0.45709860530411695,0.5706274605548265,-0.0060762352366710015,-0.041996520889919786,0.2441328165532396
0.4573274941251869,0.5712759788811916,0.45713675344096194,0.5709326456495865,-0.0038941618091372643,-0.01967223120822781,0.7762535477767265
0.4573274941251869,0.5712759788811916,0.45717490157780694,0.5710470900601214,-0.002752769554734913,-0.007452620014038569,0.7857753227332377
0.4572893459883419,0.5712378307443466,0.45717490157780694,0.5710852381969664,-0.0008392590105898989,0.00026856288338872325,0.7952970976897489
0.4573656422620319,0.5711996826075016,0.45721304971465193,0.5711615344706564,-0.0022492141483809736,0.0037934507278662988,0.7972655415509506
0.4574419385357219,0.5710852381969664,0.45721304971465193,0.5711996826075016,-0.002786339915158642,0.009131138035218367,0.7991882076479384
0.4574419385357219,0.5710852381969664,0.4572511978514969,0.5711615344706564,-0.0014099551377910746,0.008191167943357724,0.7934659871211891
0.4574800866725669,0.5710852381969664,0.4572511978514969,0.5711615344706564,-0.0019806512649922503,0.006814783165990157,0.814432203131199
0.4575182348094119,0.5710852381969664,0.4572893459883419,0.5710852381969664,-0.0022827845088047027,0.0036927396465955553,0.8029877620777002
0.4575182348094119,0.5710089419232764,0.4573274941251869,0.5710470900601214,-0.0012421033356730948,0.0029206213568528927,0.804910428174688
0.4575563829462569,0.5709707937864315,0.4573274941251869,0.5710089419232764,-0.001477095858638311,0.0020477919858392646,0.8106326487014374
0.4575563829462569,0.5709326456495865,0.4573656422620319,0.5709326456495865,-0.0016113773003325615,0.0008728293710134061,0.8067873165074618
0.4576326792199469,0.5708563493758965,0.4574037903988769,0.5708563493758965,-0.0013763847773673454,0.0001678518021179798,0.8029877620777002
0.4576326792199469,0.5707419049653615,0.4574419385357219,0.5707800531022065,-0.0006714072084719191,0.0011749626148258585,0.804910428174688
0.4576326792199469,0.5706656086916715,0.4574800866725669,0.5706656086916715,-6.714072084723632e-05,-0.0009399700918606424,0.8087099826044496
0.45774712363048187,0.5705893124179815,0.4575182348094119,0.5705511642811365,-0.0014435254982145818,-0.0020813623462629938,0.804910428174688
0.45774712363048187,0.5704748680074465,0.4575563829462569,0.5704748680074465,-0.0006714072084719191,-0.0024170659504989533,0.804910428174688
0.45774712363048187,0.5704367198706015,0.4575563829462569,0.5703604235969115,0.000637836848048412,-0.005841242713705785,0.8125095370342111
0.45782341990417186,0.5703985717337565,0.4576326792199469,0.5702078310495315,-0.00010071108127074346,-0.008191167943357724,0.8010650959807122
0.45793786431470684,0.5702841273232215,0.4576708273567919,0.5700933866389966,-0.0018127994628742705,-0.009768974883266779,0.804910428174688
0.45797601245155184,0.5702078310495315,0.45774712363048187,0.5699407940916166,-0.001275673696096602,-0.010003967406231773,0.8125095370342111
0.45805230872524183,0.5700933866389966,0.45778527176732686,0.5697882015442366,-0.0015442365794853252,-0.0117160557878353,0.804910428174688
0.4581286049989318,0.5700170903653066,0.45786156804101685,0.5696737571337016,-0.0018463698232977777,-0.013260292367320847,0.804910428174688
0.4581667531357768,0.5698644978179266,0.45793786431470684,0.5694830164494766,-0.00214850306711023,-0.013797418134098294,0.804910428174688
0.4582430494094668,0.5697882015442366,0.45801416058839683,0.5693304239020966,-0.0009399700918606424,-0.016718039490951186,0.814432203131199
0.4583956419568468,0.5697119052705466,0.45805230872524183,0.5691396832178717,-0.002517777031769919,-0.019202246162297376,0.8067873165074618
0.4584719382305368,0.5695593127231666,0.4581286049989318,0.5689870906704917,-0.0022156437879574664,-0.01812799462874226,0.8029877620777002
0.4585100863673818,0.5694830164494766,0.4581667531357768,0.5687963499862667,-0.001074251533555115,-0.020847193823053667,0.8125095370342111
0.45862453077791676,0.5693685720389416,0.4583193456831568,0.5686056093020417,-0.0018127994628742705,-0.02208929715872676,0.8106326487014374
0.45870082705160675,0.5692541276284067,0.4583956419568468,0.5684148686178168,-0.001712088381603305,-0.023700674459059545,0.8087099826044496
0.45877712332529674,0.5691015350810267,0.4584719382305368,0.5681859797967468,-0.00214850306711023,-0.02457350383007295,0.8106326487014374
0.45889156773583173,0.5689870906704917,0.45858638264107177,0.5679952391125218,-0.0012085329752493656,-0.02494277779473264,0.8087099826044496
0.4590060121463667,0.5688726462599567,0.45866267891476176,0.5677663502914518,-0.0017792291024505413,-0.029306924649800115,0.8087099826044496
0.4590823084200567,0.5687200537125767,0.45877712332529674,0.5675374614703819,-0.001074251533555115,-0.028836939603869682,0.8087099826044496
0.4592349009674367,0.5686056093020417,0.45889156773583173,0.5673085726493117,-0.001913510544145014,-0.03068330942716746,0.816354869228187
0.4592730491042817,0.5683767204809718,0.4589678640095217,0.5670796838282417,-0.0006042664876246828,-0.026956999420148398,0.8125095370342111
0.45946378978850666,0.5682622760704368,0.4590823084200567,0.5668126468703267,-0.0020142216254157574,-0.03138828699606311,0.8087099826044496
0.45954008606219665,0.5681478316599018,0.4591967528305917,0.5665837580492568,-0.0013763847773673454,-0.033603930784020575,0.8220770897549363
0.45965453047273164,0.5679189428388318,0.4593493453779717,0.5663167210913418,-0.0006714072084719191,-0.030414746543778737,0.8125095370342111
0.4598071230201116,0.5677663502914518,0.45946378978850666,0.5660878322702718,-0.0015778069399090544,-0.03363750114444408,0.8106326487014374
0.4599215674306466,0.5676519058809169,0.45957823419904165,0.5658207953123569,-0.0016113773003325615,-0.036054567094943035,0.8106326487014374
