x,y,dt
0.15880683064460754,0.3834066689014435,0.002744123979937285
0.15880683064460754,0.3834066689014435,0.001792672963347286
0.15884055197238922,0.3833988308906555,0.0063945960137061775
0.15884055197238922,0.3833988308906555,0.008278027002234012
0.15885911881923676,0.3833606541156769,0.008591697027441114
0.15885911881923676,0.3833606541156769,0.007863457023631781
0.15881529450416565,0.3833855390548706,0.008723209029994905
0.15881529450416565,0.3833855390548706,0.007940292009152472
0.1588478535413742,0.38333189487457275,0.008733550959732383
0.1588478535413742,0.38333189487457275,0.008135402982588857
0.1588289588689804,0.38337647914886475,0.008855658990796655
0.1588289588689804,0.38337647914886475,0.008047972980421036
0.1588132679462433,0.38337185978889465,0.008768492029048502
0.1588132679462433,0.38337185978889465,0.008259742986410856
0.15884946286678314,0.38334953784942627,0.008751448011025786
0.15884946286678314,0.38334953784942627,0.007784823013935238
0.15885424613952637,0.38334131240844727,0.009340798016637564
0.15885424613952637,0.38334131240844727,0.00786073599010706
0.15880608558654785,0.3833734691143036,0.008949285023845732
0.15880608558654785,0.3833734691143036,0.007698583009187132
0.15884734690189362,0.3833841383457184,0.008858736022375524
0.15884734690189362,0.3833841383457184,0.007829005946405232
0.15883401036262512,0.38337746262550354,0.008935654012020677
0.15883401036262512,0.38337746262550354,0.007623912999406457
0.15883325040340424,0.3833712935447693,0.00915248499950394
0.15883325040340424,0.3833712935447693,0.007596514013130218
0.15884672105312347,0.38334670662879944,0.008959628990851343
0.15884672105312347,0.38334670662879944,0.007630294014234096
0.1588083803653717,0.38336503505706787,0.008910781005397439
0.1588083803653717,0.38336503505706787,0.007708940014708787
0.1588263362646103,0.3833475112915039,0.009007078013382852
0.1588263362646103,0.3833475112915039,0.007793952012434602
0.15878227353096008,0.38337358832359314,0.008850308018736541
0.15878227353096008,0.38337358832359314,0.007716541003901511
0.15882664918899536,0.38337498903274536,0.0090758609585464
0.15882664918899536,0.38337498903274536,0.0075522459810599685
0.15883436799049377,0.3833552598953247,0.00898884900379926
0.15883436799049377,0.3833552598953247,0.007734982005786151
0.15881860256195068,0.38337454199790955,0.00891869398765266
0.15881860256195068,0.38337454199790955,0.007797492959070951
0.1588277518749237,0.38339802622795105,0.008887402014806867
0.1588277518749237,0.38339802622795105,0.0076506890472956
0.1588393598794937,0.3833271861076355,0.009037859970703721
0.1588393598794937,0.3833271861076355,0.00770010898122564
0.1588025540113449,0.3833704888820648,0.008880247012712061
0.1588025540113449,0.3833704888820648,0.007781549007631838
0.15881934762001038,0.3833750784397125,0.008960321021731943
0.15881934762001038,0.3833750784397125,0.007628871011547744
0.15883655846118927,0.38335737586021423,0.009070697007700801
0.15883655846118927,0.38335737586021423,0.007699271023739129
0.15879835188388824,0.38337260484695435,0.008963157015386969
0.15879835188388824,0.38337260484695435,0.007684370968490839
0.15881232917308807,0.38335368037223816,0.00906115397810936
0.15881232917308807,0.38335368037223816,0.00761762197362259
0.1588059514760971,0.3833559453487396,0.008962613006588072
0.1588059514760971,0.3833559453487396,0.007916912029031664
0.1588539332151413,0.383363276720047,0.008882688009180129
0.1588539332151413,0.383363276720047,0.0076118839788250625
0.1588238626718521,0.38337916135787964,0.009038190997671336
0.1588238626718521,0.38337916135787964,0.007591991045046598
0.15881986916065216,0.3833633363246918,0.0089943099883385
0.15881986916065216,0.3833633363246918,0.007691562990657985
0.1588125079870224,0.3833797574043274,0.008897960011381656
0.1588125079870224,0.3833797574043274,0.007772939978167415
0.15887096524238586,0.38335782289505005,0.008924363006372005
0.15887096524238586,0.38335782289505005,0.00773112999740988
0.15882839262485504,0.383358359336853,0.009079552022740245
0.15882839262485504,0.383358359336853,0.00763280299725011
0.15879647433757782,0.38336899876594543,0.009045454033184797
0.15879647433757782,0.38336899876594543,0.0075826559914276
0.158827006816864,0.3833669424057007,0.008944560016971081
0.158827006816864,0.3833669424057007,0.007746013987343758
0.15886564552783966,0.3833896219730377,0.008981692022643983
0.15886564552783966,0.3833896219730377,0.007764189969748259
0.1588306725025177,0.3833554685115814,0.008878101012669504
0.1588306725025177,0.3833554685115814,0.007643707969691604
0.15883734822273254,0.3833799660205841,0.008990094007458538
0.15883734822273254,0.3833799660205841,0.007709525991231203
0.15880735218524933,0.38336101174354553,0.008984812011476606
0.15880735218524933,0.38336101174354553,0.007821813982445747
0.15883786976337433,0.38333410024642944,0.00888149399543181
0.15883786976337433,0.38333410024642944,0.007691117993090302
0.15878860652446747,0.3834036886692047,0.00891857099486515
0.15878860652446747,0.3834036886692047,0.007730946002993733
0.1586151272058487,0.383785605430603,0.00895149598363787
0.1586151272058487,0.383785605430603,0.007714523992035538
0.15825888514518738,0.38433635234832764,0.008937115024309605
0.15825888514518738,0.38433635234832764,0.007955576002132148
0.15602128207683563,0.38737383484840393,0.00891846400918439
0.15602128207683563,0.38737383484840393,0.007703871990088373
0.1534695327281952,0.39203500747680664,0.00904302200069651
0.1534695327281952,0.39203500747680664,0.0075642759911715984
0.15136496722698212,0.39784321188926697,0.00903766299597919
0.15136496722698212,0.39784321188926697,0.007732475991360843
0.14970660209655762,0.4044799208641052,0.008995687996502966
0.14970660209655762,0.4044799208641052,0.007504679029807448
0.1481548696756363,0.4129496216773987,0.0090519730001688
0.1481548696756363,0.4129496216773987,0.00769265100825578
0.1466677337884903,0.42425864934921265,0.008858519024215639
0.1466677337884903,0.42425864934921265,0.007788862974848598
0.14512628316879272,0.4389456510543823,0.009148288983851671
0.14512628316879272,0.4389456510543823,0.0075647259945981205
0.14392167329788208,0.4557998776435852,0.00895102001959458
