x,y,Left_PWM,Right_PWM,dt
0.03573024,0.03573024,0.0,0.0,0.0
0.33906826990569783,0.489677114169744,-0.9237556077761163,0.0,0.8030793176061282
0.33903012176885283,0.489715262306589,-0.5544816431165502,0.0,0.7775811029389323
0.3392590105899228,0.48960081789605403,-0.5377300332651753,0.0,0.7633442182683797
0.33887752922147285,0.489982299264504,-0.540516373180334,0.0,0.7665028839991455
0.3392590105899228,0.489906002990814,-0.5377300332651753,0.0,0.7632068849757377
0.33967864009521775,0.489715262306589,-0.5377300332651753,0.0,0.7549668874172186
0.3391445661793878,0.49040192876979893,-0.5377300332651753,0.0,0.7704855494857632
0.33964049195837276,0.49040192876979893,-0.540516373180334,0.0,0.7672811059907834
0.3401364177373577,0.49017303994872896,-0.5377300332651753,0.0,0.7551499984740746
0.33964049195837276,0.49093600268562887,-0.5321237830744348,0.0,0.7687917722098452
0.3400219733268227,0.49108859523300885,-0.5377300332651753,0.0,0.7678762169255653
0.34055604724265265,0.4907834101382489,-0.540516373180334,0.0,0.7485122226630452
0.3399838251899777,0.4916608172856838,-0.5377300332651753,0.0,0.7633899960325937
0.3403271584215827,0.49196600238044375,-0.5321237830744348,0.0,0.7638019959105197
0.3408230842005676,0.4917371135593738,-0.5377300332651753,0.0,0.7437055574205755
0.34044160283211766,0.49272896511734365,-0.5377300332651753,0.0,0.7616046632282479
0.34070863979003263,0.4931867427594837,-0.5377300332651753,0.0,0.7637562181463057
0.34128086184270756,0.4929578539384136,-0.5349101229895932,0.0,0.7404553361613818
0.3409756767479476,0.4939878536332286,-0.5377300332651753,0.0,0.7579424420911284
0.34120456556901757,0.49452192754905855,-0.540516373180334,0.0,0.7600482192449721
0.3418912320322275,0.49448377941221355,-0.45937681203650016,0.5230597857600636,1.5
0.3419293801690725,0.49539933469649344,-0.45937681203650016,0.5377971739860223,1.5
0.34231086153752244,0.4957426679280984,-0.4538041322061831,0.5294381542405471,1.5
0.3426541947691274,0.49623859370708334,-0.4538041322061831,0.5293374431592763,1.5
0.34292123172704236,0.4968108157597583,-0.45662404248176525,0.5343058565019685,1.5
0.3433027130954923,0.49700155644398325,-0.45098422193060095,0.5262825403607287,1.5
0.34383678701132236,0.49711600085451824,-0.44259163182470174,0.5171514023255104,1.5
0.3443327127903073,0.4973830378124332,-0.45098422193060095,0.5174535355693228,1.5
0.3445997497482223,0.49791711172826314,-0.45098422193060095,0.5296395764030886,1.5
0.34486678670613724,0.4982604449598681,-0.45098422193060095,0.5352458265938291,1.5
0.3452482680745872,0.4982222968230231,-0.44259163182470174,0.5279946287423325,1.5
0.3459349345377971,0.4981460005493331,-0.4481978820154424,0.5202734458449048,1.5
0.3463545640430923,0.4982222968230231,-0.4481978820154424,0.5233283486434523,1.5
0.34673604541154224,0.4982985930967131,-0.3810571611682485,0.25587328714865576,1.1053041169469282
0.3471938230536822,0.4981460005493331,-0.36987823114719076,0.25379192480239277,1.0999023407696769
0.3479567857905821,0.49795525986510814,-0.3670583208716087,0.24882351145970039,1.098803674428541
0.348643452253792,0.49799340800195313,-0.36148564104129155,0.25315408795434435,1.1065401165807063
0.34929197058015693,0.4980697042756431,-0.3670583208716087,0.2585253456221197,1.1122623371074556
0.34986419263283186,0.4981460005493331,-0.3642719809564502,0.26339304788354156,1.116840113528855
0.3505127109591968,0.4980315561387981,-0.36148564104129155,0.2616809595019378,1.1130863368633075
0.3511612292855617,0.49780266731772815,-0.3642719809564502,0.2576860866115298,1.1064943388164923
0.3519623401593066,0.49765007477034817,-0.3642719809564502,0.25419476912747596,1.1048921170690023
0.3528015991698965,0.4975356303598132,-0.3586657307657095,0.2531876583147681,1.1060365611743523
0.3536027100436415,0.4974211859492782,-0.35587939085055087,0.2530198065126501,1.1059907834101383
0.35432752464369643,0.4974211859492782,-0.36148564104129155,0.2566118350779749,1.108920560319834
0.35501419110690635,0.4974974822229682,-0.36148564104129155,0.26158024842066707,1.1121250038148136
0.3557390057069614,0.4974593340861232,-0.36148564104129155,0.26319162572099986,1.1108432264168218
0.3564256721701713,0.4973830378124332,-0.3586657307657095,0.2645008697775202,1.109195226905118
0.3571886349070712,0.4973067415387432,-0.36148564104129155,0.2640644550920135,1.1076845606860561
0.3580278939176611,0.4972304452650532,-0.3642719809564502,0.26235236671040973,1.1071352275154882
0.359019745475631,0.49707785271767324,-0.36148564104129155,0.2587603381450849,1.1058534501174961
0.36001159703360086,0.49700155644398325,-0.3642719809564502,0.25674611651966917,1.1058076723532821
0.36096530045472575,0.49688711203344826,-0.35587939085055087,0.255940427869503,1.1057161168248542
0.36188085573900564,0.4967726676229133,-0.35587939085055087,0.2561418500320445,1.1038392284920804
0.36272011474959553,0.4966200750755333,-0.36148564104129155,0.2563768425550097,1.1004974517044588
0.36352122562334055,0.4965437788018433,-0.3586657307657095,0.2568132572405164,1.096881008331553
0.36451307718131043,0.4965056306649983,-0.3502731406598103,0.25896176030762663,1.099627674184393
0.3654667806024353,0.4965437788018433,-0.3586657307657095,0.26238593707083324,1.1042970061342203
0.3665349284340953,0.4965056306649983,-0.35309305093539234,0.26194952238532654,1.1063112277596363
0.36764122440260016,0.4964293343913083,-0.35309305093539234,0.2612445448164311,1.1073183385723442
0.36867122409741504,0.49635303811761833,-0.34748680074465166,0.2614123966185491,1.1048921170690023
0.3696630756553849,0.49627674184392834,-0.35587939085055087,0.2616138187810906,1.1038850062562944
0.3706930753501998,0.49623859370708334,-0.35309305093539234,0.26295663319803464,1.1030152287362285
